Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Scotland,2015,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2014,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2014,F10,0,0,0,0,0,1,3,1,9,17,39,47,31,41,33,25,21,9,1,2
Scotland,2014,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2014,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2014,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2014,I42.6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0
Scotland,2014,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Scotland,2014,K70,0,0,0,0,0,0,6,13,31,49,86,94,118,91,88,48,22,11,1,0
Scotland,2014,K85.2,0,0,0,0,0,0,0,1,3,3,3,2,1,3,2,2,1,0,0,0
Scotland,2014,K86.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
Scotland,2014,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2014,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2014,X45,0,0,0,0,0,0,1,1,6,7,7,10,11,7,5,4,2,0,0,0
Scotland,2014,X65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Scotland,2014,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2013,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2013,F10,0,0,0,0,0,1,0,4,5,9,28,29,31,27,26,16,15,7,0,2
Scotland,2013,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2013,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Scotland,2013,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2013,I42.6,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0
Scotland,2013,K29.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Scotland,2013,K70,0,0,0,0,0,1,2,19,30,64,85,119,113,102,74,43,21,7,2,0
Scotland,2013,K85.2,0,0,0,0,0,0,1,0,0,1,3,3,3,4,3,0,0,0,1,0
Scotland,2013,K86.0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0
Scotland,2013,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2013,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2013,X45,0,0,0,0,0,1,5,5,9,10,8,15,12,8,5,3,1,0,2,0
Scotland,2013,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
