Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Wales,2014,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2014,F10,0,0,0,0,0,0,0,2,1,2,4,0,1,3,3,1,1,0,0,1
Wales,2014,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wales,2014,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2014,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2014,I42.6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0
Wales,2014,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wales,2014,K70,0,0,0,0,0,0,2,5,8,29,41,45,52,49,35,20,6,6,1,0
Wales,2014,K85.2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Wales,2014,K86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2014,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2014,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2014,X45,0,0,0,0,2,0,2,1,0,3,2,5,4,1,2,0,1,0,0,0
Wales,2014,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2014,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2013,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2013,F10,0,0,0,0,0,0,0,1,2,2,8,2,6,2,3,1,0,0,0,0
Wales,2013,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wales,2013,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2013,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,2013,I42.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
